date,open,high,low,close,volume
2025-01-22,416.81,428.0,414.59,415.11,60963340
2025-01-23,416.06,420.73,408.95,412.38,50690590
2025-01-24,414.45,418.88,405.78,406.58,56427150
2025-01-27,394.8,406.69,389.0,397.15,58125510
2025-01-28,396.91,400.59,386.5,398.09,48910680
2025-01-29,395.21,398.5899,384.48,389.1,68033650
2025-01-30,410.78,412.5,384.41,400.28,98092880
2025-01-31,401.53,419.99,401.34,404.6,83568220
2025-02-03,386.68,389.17,374.36,383.68,93732120
2025-02-04,382.63,394.0,381.4,392.21,57072240
2025-02-05,387.51,388.39,375.53,378.17,57614720
2025-02-06,373.03,375.4,363.18,374.32,77918230
2025-02-07,370.19,380.5459,360.34,361.62,70298260
2025-02-10,356.21,362.7,350.51,350.73,77514900
2025-02-11,345.8,349.37,325.1,328.5,118543400
2025-02-12,329.94,346.4,329.12,336.51,105382700
2025-02-13,345.0,358.69,342.85,355.94,89441520
2025-02-14,360.62,362.0,347.5,355.84,68277280
2025-02-18,355.01,359.1,350.02,354.11,51631700
2025-02-19,354.0,367.34,353.67,360.56,67094370
2025-02-20,361.51,362.3,348.0,354.4,45965350
2025-02-21,353.44,354.98,334.42,337.8,74058650
2025-02-24,338.14,342.3973,324.7,330.53,76052320
2025-02-25,327.025,328.89,297.2512,302.8,134228800
2025-02-26,303.715,309.0,288.04,290.8,100118300
2025-02-27,291.16,297.23,280.88,281.95,101748200
2025-02-28,279.5,293.88,273.6,292.98,115697000
2025-03-03,300.34,303.94,277.3,284.65,115551400
2025-03-04,270.93,284.35,261.8401,272.04,126706600
2025-03-05,272.92,279.55,267.71,279.1,94042910
2025-03-06,272.06,272.65,260.02,263.45,98451570
2025-03-07,259.32,266.2499,250.73,262.67,102369600
2025-03-10,252.535,253.37,220.0,222.15,189076900
2025-03-11,225.305,237.0649,217.02,230.58,174896400
2025-03-12,247.22,251.84,241.1,248.09,142215700
2025-03-13,248.125,248.29,232.6,240.68,114813500
2025-03-14,247.31,251.58,240.73,249.98,100242300
2025-03-17,245.055,245.4,232.8,238.01,111900600
2025-03-18,228.155,230.1,222.28,225.31,111477600
2025-03-19,231.61,241.41,229.201,235.86,111993800
2025-03-20,233.345,238.0,230.0501,236.26,99028270
2025-03-21,234.985,249.52,234.55,248.71,132728700
2025-03-24,258.075,278.64,256.33,278.39,169079900
2025-03-25,283.6,288.2,271.28,288.14,150361500
2025-03-26,282.66,284.9,266.51,272.06,156254400
2025-03-27,272.48,291.85,271.8216,273.13,162572100
2025-03-28,275.575,276.1,260.57,263.55,123809400
2025-03-31,249.31,260.56,243.3601,259.16,134008900
2025-04-01,263.8,277.45,259.25,268.46,146486900
2025-04-02,254.6,284.99,251.27,282.76,212787800
2025-04-03,265.29,276.3,261.51,267.28,136174300
2025-04-04,255.38,261.0,236.0,239.43,181229400
2025-04-07,223.78,252.0,214.25,233.29,183453800
2025-04-08,245.0,250.44,217.8,221.86,171603500
2025-04-09,224.69,274.69,223.88,272.2,219433400
2025-04-10,260.0,262.49,239.33,252.4,181722600
2025-04-11,251.84,257.74,241.3629,252.31,128948100
2025-04-14,258.36,261.8,245.93,252.35,100135200
2025-04-15,249.91,258.75,247.54,254.11,79594320
2025-04-16,247.61,251.97,233.89,241.55,112378700
2025-04-17,243.47,244.34,237.6833,241.37,83404780
2025-04-21,230.26,232.21,222.79,227.5,97768010
2025-04-22,230.96,242.79,229.8501,237.97,120858500
2025-04-23,254.86,259.4499,244.43,250.74,150381900
2025-04-24,250.5,259.54,249.2,259.51,94464200
2025-04-25,261.69,286.85,259.63,284.95,167560700
2025-04-28,288.98,294.86,272.42,285.88,151731800
2025-04-29,285.5,293.32,279.4695,292.03,108906600
2025-04-30,279.9,284.45,270.78,282.16,128961100
2025-05-01,280.01,290.8688,279.81,280.52,99658970
2025-05-02,284.9,294.78,279.81,287.21,114454700
2025-05-05,284.57,284.849,274.4,280.26,94618880
2025-05-06,273.105,277.73,271.35,275.35,76715790
2025-05-07,276.88,277.92,271.0,276.22,71882410
2025-05-08,279.63,289.8,279.41,284.82,97539450
2025-05-09,290.21,307.04,290.0,298.26,132387800
2025-05-12,321.99,322.21,311.5,318.38,112826700
2025-05-13,320.0,337.5894,316.8,334.07,136992600
2025-05-14,342.5,350.0,337.0,347.68,136997300
2025-05-15,340.34,346.1393,334.7153,342.82,97882600
2025-05-16,346.24,351.62,342.33,349.98,95895670
